,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",102,259,178,0.7174515235457064,0.5926773455377574,0.6491228070175439,0,polyglot,No augmentation,0
0,"['PER', 'LOC', 'ORG']",120,255,182,0.68,0.5835240274599542,0.6280788177339902,0,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",108,267,170,0.712,0.6109839816933639,0.6576354679802957,1,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",114,254,183,0.6902173913043478,0.5812356979405034,0.6310559006211179,2,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",110,256,181,0.6994535519125683,0.585812356979405,0.6376089663760897,3,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",118,257,180,0.6853333333333333,0.5881006864988558,0.6330049261083743,4,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",111,263,174,0.7032085561497327,0.6018306636155606,0.6485819975339087,5,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",112,257,180,0.6964769647696477,0.5881006864988558,0.6377171215880892,6,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",106,261,176,0.7111716621253406,0.597254004576659,0.6492537313432836,7,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",109,262,175,0.706199460916442,0.5995423340961098,0.6485148514851485,8,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",110,259,178,0.7018970189701897,0.5926773455377574,0.6426799007444168,9,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",107,260,177,0.7084468664850136,0.5949656750572082,0.6467661691542288,10,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",111,263,174,0.7032085561497327,0.6018306636155606,0.6485819975339087,11,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",107,260,177,0.7084468664850136,0.5949656750572082,0.6467661691542288,12,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",104,260,177,0.7142857142857143,0.5949656750572082,0.6491885143570537,13,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",103,265,172,0.720108695652174,0.6064073226544623,0.6583850931677019,14,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",111,261,176,0.7016129032258065,0.597254004576659,0.6452410383189122,15,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",112,263,174,0.7013333333333334,0.6018306636155606,0.647783251231527,16,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",106,267,170,0.7158176943699732,0.6109839816933639,0.6592592592592593,17,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",119,250,187,0.6775067750677507,0.5720823798627003,0.6203473945409429,18,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",106,265,172,0.7142857142857143,0.6064073226544623,0.655940594059406,19,polyglot,Danish names,1
0,"['PER', 'LOC', 'ORG']",133,140,297,0.5128205128205128,0.32036613272311215,0.39436619718309857,0,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",136,149,288,0.5228070175438596,0.34096109839816935,0.41274238227146814,1,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",138,147,290,0.5157894736842106,0.33638443935926776,0.40720221606648205,2,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",133,149,288,0.5283687943262412,0.34096109839816935,0.41446453407510436,3,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",135,151,286,0.527972027972028,0.34553775743707094,0.41770401106500693,4,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",128,152,285,0.5428571428571428,0.34782608695652173,0.42398884239888424,5,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",141,147,290,0.5104166666666666,0.33638443935926776,0.4055172413793104,6,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",142,138,299,0.4928571428571429,0.3157894736842105,0.38493723849372385,7,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",135,155,282,0.5344827586206896,0.35469107551487417,0.4264099037138927,8,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",140,143,294,0.5053003533568905,0.32723112128146453,0.3972222222222223,9,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",139,144,293,0.508833922261484,0.3295194508009153,0.4,10,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",140,145,292,0.5087719298245614,0.3318077803203661,0.4016620498614959,11,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",139,147,290,0.513986013986014,0.33638443935926776,0.4066390041493776,12,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",148,140,297,0.4861111111111111,0.32036613272311215,0.3862068965517242,13,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",133,151,286,0.5316901408450704,0.34553775743707094,0.41886269070735094,14,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",140,158,279,0.5302013422818792,0.36155606407322655,0.42993197278911566,15,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",139,147,290,0.513986013986014,0.33638443935926776,0.4066390041493776,16,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",146,147,290,0.5017064846416383,0.33638443935926776,0.40273972602739727,17,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",132,154,283,0.5384615384615384,0.3524027459954233,0.4260027662517289,18,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",145,156,281,0.5182724252491694,0.35697940503432496,0.4227642276422764,19,polyglot,Muslim names,2
0,"['PER', 'LOC', 'ORG']",117,252,185,0.6829268292682927,0.5766590389016019,0.6253101736972705,0,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",115,251,186,0.6857923497267759,0.5743707093821511,0.6251556662515567,1,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",114,247,190,0.6842105263157895,0.5652173913043478,0.6190476190476191,2,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",124,254,183,0.671957671957672,0.5812356979405034,0.6233128834355829,3,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",117,255,182,0.6854838709677419,0.5835240274599542,0.6304079110012362,4,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",128,242,195,0.654054054054054,0.5537757437070938,0.5997521685254027,5,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",110,261,176,0.7035040431266847,0.597254004576659,0.6460396039603962,6,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",116,254,183,0.6864864864864865,0.5812356979405034,0.6294919454770755,7,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",119,250,187,0.6775067750677507,0.5720823798627003,0.6203473945409429,8,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",115,247,190,0.6823204419889503,0.5652173913043478,0.6182728410513141,9,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",118,243,194,0.6731301939058172,0.5560640732265446,0.6090225563909775,10,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",117,250,187,0.6811989100817438,0.5720823798627003,0.6218905472636816,11,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",121,249,188,0.672972972972973,0.5697940503432495,0.617100371747212,12,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",115,259,178,0.6925133689839572,0.5926773455377574,0.6387176325524044,13,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",108,252,185,0.7,0.5766590389016019,0.6323713927227101,14,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",115,254,183,0.6883468834688347,0.5812356979405034,0.630272952853598,15,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",117,249,188,0.680327868852459,0.5697940503432495,0.6201743462017435,16,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",112,252,185,0.6923076923076923,0.5766590389016019,0.6292134831460674,17,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",112,252,185,0.6923076923076923,0.5766590389016019,0.6292134831460674,18,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",118,252,185,0.6810810810810811,0.5766590389016019,0.6245353159851301,19,polyglot,Female names,3
0,"['PER', 'LOC', 'ORG']",106,267,170,0.7158176943699732,0.6109839816933639,0.6592592592592593,0,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,267,170,0.7158176943699732,0.6109839816933639,0.6592592592592593,1,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",103,266,171,0.7208672086720868,0.6086956521739131,0.6600496277915632,2,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,266,171,0.7150537634408602,0.6086956521739131,0.657601977750309,3,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",107,269,168,0.7154255319148937,0.6155606407322655,0.6617466174661747,4,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",111,262,175,0.7024128686327078,0.5995423340961098,0.6469135802469136,5,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",115,260,177,0.6933333333333334,0.5949656750572082,0.6403940886699508,6,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",110,264,173,0.7058823529411765,0.6041189931350115,0.6510480887792849,7,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,269,168,0.7173333333333334,0.6155606407322655,0.6625615763546798,8,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,268,169,0.7165775401069518,0.6132723112128147,0.6609124537607891,9,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",102,275,162,0.7294429708222812,0.6292906178489702,0.6756756756756757,10,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,263,174,0.7127371273712737,0.6018306636155606,0.6526054590570719,11,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",110,262,175,0.7043010752688172,0.5995423340961098,0.6477132262051917,12,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",103,260,177,0.7162534435261708,0.5949656750572082,0.65,13,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",104,264,173,0.717391304347826,0.6041189931350115,0.6559006211180125,14,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",112,258,179,0.6972972972972973,0.5903890160183066,0.6394052044609664,15,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",107,269,168,0.7154255319148937,0.6155606407322655,0.6617466174661747,16,polyglot,Male names,4
0,"['PER', 'LOC', 'ORG']",106,268,169,0.7165775401069518,0.6132723112128147,0.6609124537607891,17,polyglot,Male names,4
