,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",51,367,70,0.8779904306220095,0.8398169336384439,0.8584795321637426,0,dacy_large,No augmentation,0
0,"['PER', 'LOC', 'ORG']",48,374,63,0.8862559241706162,0.8558352402745996,0.870779976717113,0,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",48,376,61,0.8867924528301887,0.8604118993135011,0.8734030197444832,1,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",55,369,68,0.8702830188679245,0.8443935926773455,0.8571428571428572,2,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",56,371,66,0.8688524590163934,0.8489702517162472,0.8587962962962963,3,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",52,371,66,0.8770685579196218,0.8489702517162472,0.8627906976744186,4,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",53,372,65,0.8752941176470588,0.851258581235698,0.8631090487238978,5,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",49,375,62,0.8844339622641509,0.8581235697940504,0.8710801393728225,6,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",53,372,65,0.8752941176470588,0.851258581235698,0.8631090487238978,7,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",50,374,63,0.8820754716981132,0.8558352402745996,0.8687572590011615,8,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",52,372,65,0.8773584905660378,0.851258581235698,0.8641114982578397,9,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",51,374,63,0.88,0.8558352402745996,0.8677494199535963,10,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",55,373,64,0.8714953271028038,0.8535469107551488,0.8624277456647399,11,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",51,374,63,0.88,0.8558352402745996,0.8677494199535963,12,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",49,373,64,0.8838862559241706,0.8535469107551488,0.868451688009313,13,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",55,373,64,0.8714953271028038,0.8535469107551488,0.8624277456647399,14,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",50,373,64,0.8817966903073287,0.8535469107551488,0.8674418604651164,15,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",51,374,63,0.88,0.8558352402745996,0.8677494199535963,16,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",51,376,61,0.8805620608899297,0.8604118993135011,0.8703703703703703,17,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",48,374,63,0.8862559241706162,0.8558352402745996,0.870779976717113,18,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",53,373,64,0.8755868544600939,0.8535469107551488,0.8644264194669756,19,dacy_large,Danish names,1
0,"['PER', 'LOC', 'ORG']",54,371,66,0.8729411764705882,0.8489702517162472,0.8607888631090488,0,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,372,65,0.8794326241134752,0.851258581235698,0.8651162790697675,1,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,371,66,0.8791469194312796,0.8489702517162472,0.8637951105937136,2,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",57,367,70,0.8655660377358491,0.8398169336384439,0.8524970963995354,3,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",54,369,68,0.8723404255319149,0.8443935926773455,0.858139534883721,4,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",52,371,66,0.8770685579196218,0.8489702517162472,0.8627906976744186,5,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,373,64,0.8797169811320755,0.8535469107551488,0.8664343786295007,6,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",53,371,66,0.875,0.8489702517162472,0.8617886178861789,7,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",54,368,69,0.8720379146919431,0.8421052631578947,0.8568102444703142,8,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,371,66,0.8791469194312796,0.8489702517162472,0.8637951105937136,9,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,370,67,0.8788598574821853,0.8466819221967964,0.8624708624708626,10,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",49,374,63,0.8841607565011821,0.8558352402745996,0.8697674418604651,11,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,374,63,0.88,0.8558352402745996,0.8677494199535963,12,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",52,370,67,0.8767772511848341,0.8466819221967964,0.861466821885914,13,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,370,67,0.8788598574821853,0.8466819221967964,0.8624708624708626,14,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",54,368,69,0.8720379146919431,0.8421052631578947,0.8568102444703142,15,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",52,373,64,0.8776470588235294,0.8535469107551488,0.8654292343387471,16,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",52,373,64,0.8776470588235294,0.8535469107551488,0.8654292343387471,17,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",51,370,67,0.8788598574821853,0.8466819221967964,0.8624708624708626,18,dacy_large,Muslim names,2
0,"['PER', 'LOC', 'ORG']",52,375,62,0.8782201405152225,0.8581235697940504,0.8680555555555555,19,dacy_large,Muslim names,2
