,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",80,340,97,0.8095238095238095,0.7780320366132724,0.7934655775962661,0,dacy_small,No augmentation,0
0,"['PER', 'LOC', 'ORG']",87,336,101,0.7943262411347518,0.7688787185354691,0.7813953488372093,0,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",88,332,105,0.7904761904761904,0.7597254004576659,0.7747957992998833,1,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",85,341,96,0.8004694835680751,0.7803203661327232,0.7902665121668597,2,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,331,106,0.7825059101654847,0.7574370709382151,0.7697674418604651,3,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",94,329,108,0.7777777777777778,0.7528604118993135,0.7651162790697675,4,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",89,330,107,0.7875894988066826,0.7551487414187643,0.7710280373831776,5,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",87,336,101,0.7943262411347518,0.7688787185354691,0.7813953488372093,6,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",93,335,102,0.7827102803738317,0.7665903890160183,0.7745664739884393,7,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",95,330,107,0.7764705882352941,0.7551487414187643,0.765661252900232,8,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",85,334,103,0.7971360381861575,0.7643020594965675,0.7803738317757011,9,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",92,334,103,0.784037558685446,0.7643020594965675,0.7740440324449595,10,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",88,334,103,0.7914691943127962,0.7643020594965675,0.7776484284051222,11,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",89,334,103,0.789598108747045,0.7643020594965675,0.7767441860465116,12,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",83,334,103,0.8009592326139089,0.7643020594965675,0.7822014051522249,13,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",85,335,102,0.7976190476190477,0.7665903890160183,0.7817969661610269,14,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",93,332,105,0.7811764705882352,0.7597254004576659,0.7703016241299304,15,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,332,105,0.7848699763593381,0.7597254004576659,0.772093023255814,16,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",90,330,107,0.7857142857142857,0.7551487414187643,0.7701283547257877,17,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",91,329,108,0.7833333333333333,0.7528604118993135,0.7677946324387398,18,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",84,335,102,0.7995226730310262,0.7665903890160183,0.7827102803738317,19,dacy_small,Danish names,1
0,"['PER', 'LOC', 'ORG']",107,313,124,0.7452380952380953,0.7162471395881007,0.7304550758459742,0,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",93,329,108,0.7796208530805687,0.7528604118993135,0.7660069848661235,1,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",104,315,122,0.7517899761336515,0.7208237986270023,0.735981308411215,2,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",96,324,113,0.7714285714285715,0.7414187643020596,0.7561260210035007,3,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",107,316,121,0.7470449172576832,0.7231121281464531,0.7348837209302325,4,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",102,323,114,0.76,0.7391304347826086,0.7494199535962878,5,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",103,320,117,0.7565011820330969,0.7322654462242563,0.7441860465116279,6,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",98,328,109,0.7699530516431925,0.7505720823798627,0.7601390498261877,7,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",95,324,113,0.7732696897374701,0.7414187643020596,0.7570093457943925,8,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",102,321,116,0.7588652482269503,0.7345537757437071,0.7465116279069768,9,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",98,323,114,0.7672209026128266,0.7391304347826086,0.752913752913753,10,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",96,326,111,0.7725118483412322,0.7459954233409611,0.7590221187427242,11,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",100,322,115,0.7630331753554502,0.7368421052631579,0.749708963911525,12,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",106,316,121,0.7488151658767772,0.7231121281464531,0.7357392316647264,13,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",106,321,116,0.7517564402810304,0.7345537757437071,0.7430555555555555,14,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",104,320,117,0.7547169811320755,0.7322654462242563,0.7433217189314749,15,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",103,321,116,0.7570754716981132,0.7345537757437071,0.7456445993031359,16,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",103,318,119,0.7553444180522565,0.7276887871853547,0.7412587412587412,17,dacy_small,Muslim names,2
0,"['PER', 'LOC', 'ORG']",97,318,119,0.7662650602409639,0.7276887871853547,0.7464788732394366,18,dacy_small,Muslim names,2
